,BUILDING TYPE,TOTAL KWH,PREDICTION
19731,1,196257.0,23414.000000371114
19733,1,146427.0,18254.00000028993
19734,0,309660.0,35795.00000107648
19735,0,79800.0,8249.000000468593
19737,1,286085.0,32242.000000588905
19739,1,150246.0,17486.00000038683
19740,1,96007.0,10643.000000077236
19741,1,223107.0,24036.000000549448
19742,1,122273.0,16616.000000233063
19746,0,36718.0,4785.999999960512
19747,1,62062.0,8064.000000440554
19748,1,262894.0,29736.000000475244
19752,1,43461.0,4308.00000016901
19755,1,56102.0,6457.999999966665
19756,1,97977.0,12513.000000041427
19758,1,69424.0,8901.999999999312
19759,1,31792.0,2830.9999999962747
19760,0,150412.0,18784.000000368276
19762,1,109968.0,17130.000000094107
19764,1,30067.0,2979.999999911379
19765,1,136534.0,20466.000000239317
19766,1,184252.0,20535.00000031162
19767,1,122995.0,12243.000000135242
19768,1,106724.0,11911.000000198868
19770,1,123446.0,16202.000000046539
19771,1,162881.0,17728.000000316897
19772,1,147454.0,16714.000000241303
19773,1,28491.0,2844.9999998572966
19774,1,113671.0,14756.000000179898
19775,1,145204.0,17188.00000021537
19777,1,174118.0,22062.00000027781
19778,1,113883.0,12002.000000189859
19780,0,30131.0,2417.9999999997526
19781,1,79692.0,9222.000000009995
19782,1,15617.0,777.9999999547981
19783,0,177306.0,19804.000001139084
19784,1,100257.0,10385.000000446742
19785,1,47948.0,3350.9999999515258
19786,1,37944.0,3333.9999998544863
19787,1,31301.0,2159.000000081929
19788,0,261104.0,34434.000000388405
19789,0,97038.0,11394.000000037497
19790,1,68946.0,7165.0000001417775
19791,1,31470.0,8281.999999868502
19792,0,120307.0,13802.000000234928
19793,0,240679.0,25691.000000864704
19794,1,77867.0,7642.000000216438
19795,1,170000.0,17625.000000113552
19796,1,31824.0,4129.000000250406
19797,1,20202.0,2765.9999999866905
19798,1,41925.0,4743.000000087184
19799,1,87948.0,14384.000000028063
19801,1,41151.0,5231.000000192944
19802,1,38476.0,4287.000000035829
19804,1,117988.0,10719.000000273401
19805,1,85118.0,9268.000000082968
19806,1,73585.0,8469.00000009835
19807,1,65794.0,8038.000000097847
19808,0,117326.0,12752.000000429205
19809,0,83167.0,9886.000000221891
19811,1,94198.0,11342.00000009174
19813,1,188057.0,24254.00000052206
19814,1,106346.0,13473.00000035407
19816,1,8717.0,66.9999999137799
19819,1,107799.0,14013.00000042403
19820,1,64316.0,9940.00000023562
19822,1,67477.0,5547.000000052116
19824,1,48765.0,6725.999999928574
19828,1,26777.0,3948.999999952641
19829,1,31736.0,4432.000000398395
19830,1,135270.0,20328.000000224103
19831,0,61629.0,7346.000000290478
19833,1,99127.0,13484.000000169704
19835,1,97926.0,9946.000000085396
19838,1,37082.0,3649.0000002094166
19840,0,75783.0,9857.000000309381
19841,0,123708.0,13820.000000309303
19843,1,38060.0,4110.99999990506
19844,0,33635.0,5304.999999890417
19845,1,129506.0,12553.00000039395
19847,1,62872.0,7411.000000067812
19848,0,43418.0,5046.000000048325
19851,1,63203.0,7792.000000037589
19856,1,41188.0,4845.999999980073
19857,1,27401.0,3275.9999999839074
19860,1,27646.0,3273.999999987642
19862,1,29774.0,3616.9999999996944
19863,1,40737.0,5075.000000170037
19864,1,28890.0,3995.999999986594
19865,1,27481.0,2900.999999985319
19867,1,192425.0,24617.00000039553
19870,1,32537.0,3894.9999999356496
19871,1,56538.0,8549.000000047436
19872,1,30154.0,4797.999999904823
19873,1,143791.0,23010.000000205873
19875,1,63452.0,9008.999999955586
19876,1,91686.0,12000.000000608485
19878,1,26088.0,3110.999999982776
19880,1,36173.0,5604.000000013839
19881,1,100513.0,16086.0000000426
19882,1,51189.0,6034.000000660624
19883,1,29779.0,3275.9999999727643
19884,1,146638.0,16532.00000013041
19886,1,40230.0,4807.999999976697
19887,1,172764.0,23432.000000404667
19888,0,50715.0,4672.000000334616
